Skill,US,India,Boston,Austin,Bangalore,Berlin,Delhi,Hyderabad,London,SF
Spark,337,129,120,83,105,65,8,32,123,219
Hive,148,101,37,15,51,46,4,16,81,98
Cassandra,25,27,,33,21,,2,,51,
Perl,45,43,19,15,17,,,6,,14
JavaScript,34,20,37,,5,4,6,5,20,
MongoDB,25,27,18,19,33,10,2,,31,13
Matlab,149,83,54,2,40,20,2,21,44,38
NoSQL,101,104,12,54,51,6,,1,71,32
Scala,158,25,29,60,11,44,6,11,18,51
Tableau,225,108,75,57,33,36,6,48,37,75
Java,173,128,71,52,50,102,13,24,59,113
Ruby,50,43,39,15,9,2,6,12,1,5
Hadoop,268,241,130,160,106,67,7,35,123,169
SPSS,66,49,56,,,10,,24,,33
Pig,60,71,25,2,40,,2,20,21,31
MapReduce,51,63,24,36,30,,2,16,30,43
Python,688,322,264,192,199,205,20,86,170,286
Oozie,,,,,,14,,,,4
HBase,58,19,,21,13,,2,4,21,15
SAS,289,138,84,145,30,27,,24,33,30
Excel,122,42,65,50,30,48,8,12,13,54
D3,16,,,35,10,10,,,2,
R,649,336,292,198,163,183,9,49,150,207
Mahout,54,,,,20,,,,10,4
SQL,710,289,284,158,121,99,8,74,157,238
