Year,Java,PHP,C++,C#,ASP,VB,.NET,JavaScript,SQL,Python,Ruby,Quality,iOS,Support,Android
2004,20,2,9,4,2,1,5,1,0,0,0,2,2,2,2
2005,19,9,17,15,6,1,15,0,0,1,0,4,4,4,4
2006,14,4,14,14,8,1,15,1,0,0,0,7,7,7,7
2007,47,6,17,23,11,0,38,0,2,0,0,9,9,9,9
2008,44,18,23,37,18,2,39,0,10,0,0,14,14,14,14
2009,13,11,6,2,4,0,9,0,1,0,0,9,9,9,9
2010,17,5,23,17,5,2,14,1,1,0,0,7,7,7,7
2011,26,21,18,8,4,0,17,0,3,0,0,9,9,9,9
2012,39,23,30,15,27,1,54,3,0,0,2,6,6,6,6
2013,20,32,11,12,16,0,30,2,1,0,3,4,4,4,4
2014,36,29,18,14,10,0,46,5,1,0,3,10,10,10,10
2015,57,30,7,1,7,1,45,5,0,1,4,0,0,0,0
